ID    , Name            , Latitude , Longitude , Elevation , RadarType
Z9599 , JianYang        , 27.3500  , 118.1008  , 291.3     , SA
Z9660 , ShanWei         , 22.8178  , 115.3558  , 277.7     , SA
Z9662 , YangJiang       , 21.8447  , 111.9789  , 103       , SA
Z9692 , DeHong          , 24.4889  , 98.3439   , 2073      , CC
Z9716 , JinZhou         , 30.3519  , 112.1478  , 63.2      , SA
Z9717 , YiChang         , 30.7019  , 111.2958  , 203.8     , SA
Z9718 , EnShi           , 30.2869  , 109.2569  , 1751.9    , SB
Z9719 , ShiYan          , 32.5989  , 110.7439  , 832.6     , SB
Z9722 , SuiZhou         , 31.7258  , 113.3889  , 136       , SB
Z9730 , YueYang         , 29.2989  , 113.1028  , 162.2     , SA
Z9731 , ChangSha        , 28.4597  , 113.0119  , 630.4     , SA
Z9736 , ChangDe         , 29.1808  , 111.7069  , 579       , SB
Z9739 , ShaoYang        , 27.2069  , 111.4469  , 348       , SA
Z9745 , HuaiHua         , 27.5658  , 110.0028  , 307.1     , CB
Z9746 , YongZhou        , 26.2258  , 111.6158  , 195.5     , SB
Z9747 , HuangYan        , 27.4697  , 110.0539  , 1083      , CB
Z9748 , ShiMen          , 27.6289  , 110.0047  , 559       , SA
Z9751 , ShaoGuan        , 24.7908  , 113.5658  , 301.9     , SA
Z9753 , MeiZhou         , 24.2578  , 115.9928  , 423       , SA
Z9754 , ShanTou         , 23.2939  , 116.6997  , 199.8     , SA
Z9755 , ShenZhen        , 22.5419  , 114.0047  , 149.1     , SA
Z9759 , ZhanJiang       , 21.0119  , 110.5258  , 106       , SA
Z9762 , HeYuan          , 23.6900  , 114.6069  , 1056.2    , SA
Z9771 , NanNing         , 22.8097  , 108.4000  , 239.9     , SA
Z9772 , LiuZhou         , 24.3569  , 109.4558  , 352.3     , SB
Z9773 , GuiLin          , 25.3169  , 110.3000  , 240.8     , SB
Z9774 , WuZhou          , 23.4697  , 111.3039  , 141       , SB
Z9776 , BaiSe           , 23.9028  , 106.6028  , 268       , SB
Z9778 , HeChi           , 24.9889  , 107.5078  , 1051      , SB
Z9779 , BeiHai          , 21.4469  , 109.0419  , 157       , SB
